device,cpu,mcs,txpower,mean_traffic_load,max_capacity,max_gp_capacity,mean_thr,mean_gput,mean_snr,SNR_normalized,mean_q7,mean_q11,mean_q25,mean_bler,mean_bsr,mean_it,mean_dectime,mean_overflows,mean_underflows,mean_lates,count
I7-5600U @ 2.60GHz,0.1,2,-16,2.3,3.312635315,2.6094508,0.23091331,0.226691617,2.77251387,18.77251387,1,1,1,0.622082333,102186.8147,3.600113951,1587.211449,0.289441176,0.201269133,16.39830482,3
I7-5600U @ 2.60GHz,0.1,2,-16,5.75,7.039359095,6.234428138,0.167662451,0.166539912,2.286589477,18.28658948,1,1,1,0.751788,143293.8717,5.350855358,1227.221525,0.312827523,0.244645705,16.91803372,3
I7-5600U @ 2.60GHz,0.1,2,-16,11.5,12.36441646,12.19656422,0.201845285,0.200663257,2.125639385,18.12563938,1,1,1,0.711860333,118186.7942,4.437018896,865.9510303,0.305880574,0.244656085,16.35703704,3
I7-5600U @ 2.60GHz,0.1,2,-16,17.25,18.28636109,18.25768486,0.211396127,0.210292381,2.136636856,18.13663686,1,1,1,0.593577,99761.43304,3.089170361,935.4145873,0.281239737,0.216412151,15.1691133,3
I7-5600U @ 2.60GHz,0.1,2,-16,23,20.70891275,20.69123762,0.209346774,0.208126431,1.848031188,17.84803119,1,1,1,0.607713333,91703.52621,2.948755923,915.4699252,0.277570234,0.235192507,15.36250254,3
I7-5600U @ 2.60GHz,0.1,2,-16,28.75,20.70876387,20.69035338,0.235548645,0.231510954,2.723104905,18.72310491,1,1,1,0.631648,96106.44253,3.629409237,1086.708258,0.28320802,0.242391694,15.57250269,2
I7-5600U @ 2.60GHz,0.1,2,-15,2.3,3.312635315,2.6094508,0.273260216,0.271709948,3.78737037,18.78737037,1,1,1,0.67684,135272.4815,4.595555556,1808.382089,0.314814815,0.055555556,17.81481481,1
I7-5600U @ 2.60GHz,0.1,2,-15,5.75,7.039359095,6.234428138,0.29077945,0.289041617,3.772934783,18.77293478,1,1,1,0.72582,146020.7391,4.629565217,2117.199304,0.326086957,0.217391304,17.2826087,1
I7-5600U @ 2.60GHz,0.1,2,-15,11.5,12.36441646,12.19656422,0.298785013,0.297728924,3.892644444,18.89264444,1,1,1,0.719688,149011.8222,4.396,2149.603733,0.311111111,0.088888889,17.42222222,1
I7-5600U @ 2.60GHz,0.1,2,-15,17.25,18.28636109,18.25768486,0.277765367,0.276060178,3.811132075,18.81113208,1,1,1,0.6786,143243.6415,4.525849057,3427.041126,0.320754717,0.132075472,17.50943396,1
I7-5600U @ 2.60GHz,0.1,2,-15,23,20.70891275,20.69123762,0.308746474,0.306961262,3.95627027,18.95627027,1,1,1,0.76686,148842.3784,4.336216216,681.6756757,0.324324324,0.135135135,17.7027027,1
I7-5600U @ 2.60GHz,0.1,2,-15,28.75,20.70876387,20.69035338,0.301157353,0.299955398,3.172511111,18.17251111,1,1,1,0.68335,116541.1778,3.459333333,1351.407812,0.288888889,0.177777778,15.2,1
I7-5600U @ 2.60GHz,0.1,2,-14,2.3,3.312635315,2.6094508,0.285511875,0.283959707,4.356609756,18.35660976,1,1,1,0.74458,149518.3415,4.397560976,1571.95646,0.317073171,0.195121951,16.70731707,1
I7-5600U @ 2.60GHz,0.1,2,-14,5.75,7.039359095,6.234428138,0.279911782,0.277924209,4.077469388,18.07746939,1,1,1,0.71164,141084.3673,4.682244898,408.9795918,0.326530612,0.06122449,18.48979592,1
